DYNA>     3760      3.76000  -7852.13563   3552.03902 -11404.17465    306.25672
DYNA>     3800      3.80000  -7851.58432   3544.39793 -11395.98225    305.59791
DYNA>     3800      3.80000  -7891.40241   3504.57984 -11395.98225    302.16479
DYNA>     3840      3.84000  -7892.79000   3572.46079 -11465.25079    308.01748
DYNA>     3880      3.88000  -7894.54814   3589.52344 -11484.07159    309.48863
DYNA>     3920      3.92000  -7893.41191   3531.89440 -11425.30631    304.51985
DYNA>     3960      3.96000  -7892.02245   3575.16238 -11467.18483    308.25042
DYNA>     4000      4.00000  -7890.74150   3498.95070 -11389.69221    301.67945
DYNA>     4000      4.00000  -7933.40924   3456.28297 -11389.69221    298.00064
DYNA>     4040      4.04000  -7935.62966   3443.94131 -11379.57097    296.93654
DYNA>     4080      4.08000  -7936.61451   3463.11368 -11399.72820    298.58958
DYNA>     4120      4.12000  -7936.19365   3461.29734 -11397.49099    298.43297
DYNA>     4160      4.16000  -7935.71830   3498.11615 -11433.83445    301.60749
DYNA>     4200      4.20000  -7936.66935   3487.21647 -11423.88582    300.66772
DYNA>     4200      4.20000  -7849.93293   3573.95289 -11423.88582    308.14613
DYNA>     4240      4.24000  -7850.04273   3488.70389 -11338.74662    300.79597
DYNA>     4280      4.28000  -7850.31424   3507.04300 -11357.35724    302.37716
DYNA>     4320      4.32000  -7848.46983   3482.64145 -11331.11128    300.27326
DYNA>     4360      4.36000  -7849.22280   3514.72734 -11363.95013    303.03971
DYNA>     4400      4.40000  -7850.92855   3468.81970 -11319.74825    299.08155
DYNA>     4400      4.40000  -7816.75099   3502.99726 -11319.74825    302.02834
DYNA>     4440      4.44000  -7818.42098   3581.15278 -11399.57375    308.76691
DYNA>     4480      4.48000  -7816.75840   3531.95029 -11348.70869    304.52467
DYNA>     4520      4.52000  -7814.27405   3496.34523 -11310.61928    301.45480
DYNA>     4560      4.56000  -7815.97284   3556.54234 -11372.51519    306.64500
DYNA>     4600      4.60000  -7817.99935   3511.72710 -11329.72644    302.78103
DYNA>     4600      4.60000  -7785.36457   3544.36187 -11329.72644    305.59480
DYNA>     4640      4.64000  -7785.54492   3591.04045 -11376.58537    309.61942
DYNA>     4680      4.68000  -7783.66705   3591.24198 -11374.90903    309.63680
DYNA>     4720      4.72000  -7782.20353   3552.43814 -11334.64167    306.29113
DYNA>     4760      4.76000  -7783.55830   3604.43315 -11387.99145    310.77414
DYNA>     4800      4.80000  -7784.63740   3553.07773 -11337.71513    306.34628
DYNA>     4800      4.80000  -7871.23572   3466.47941 -11337.71513    298.87977
DYNA>     4840      4.84000  -7871.46125   3473.70863 -11345.16988    299.50308
DYNA>     4880      4.88000  -7872.06886   3512.44629 -11384.51515    302.84304
DYNA>     4920      4.92000  -7873.13998   3569.49068 -11442.63066    307.76140
DYNA>     4960      4.96000  -7873.37779   3554.69225 -11428.07004    306.48548
DYNA>     5000      5.00000  -7872.55485   3532.48020 -11405.03504    304.57036
DYNA>     5000      5.00000  -7828.29080   3576.74425 -11405.03504    308.38680
DYNA>     5040      5.04000  -7827.27415   3536.19107 -11363.46522    304.89031
DYNA>     5080      5.08000  -7828.21197   3494.24185 -11322.45382    301.27345
DYNA>     5120      5.12000  -7828.95408   3552.52595 -11381.48004    306.29870
DYNA>     5160      5.16000  -7827.78736   3598.84605 -11426.63342    310.29242
DYNA>     5200      5.20000  -7825.84569   3564.62696 -11390.47265    307.34205
DYNA>     5200      5.20000  -7834.75131   3555.72134 -11390.47265    306.57421
DYNA>     5240      5.24000  -7837.63214   3571.77291 -11409.40505    307.95818
DYNA>     5280      5.28000  -7837.91806   3488.81023 -11326.72829    300.80513
DYNA>     5320      5.32000  -7837.23024   3521.00303 -11358.23327    303.58080
DYNA>     5360      5.36000  -7836.11370   3468.49716 -11304.61086    299.05374
DYNA>     5400      5.40000  -7837.05337   3506.60001 -11343.65338    302.33897
DYNA>     5400      5.40000  -7836.91303   3506.74035 -11343.65338    302.35107
DYNA>     5440      5.44000  -7839.29920   3562.69999 -11401.99920    307.17591
DYNA>     5480      5.48000  -7835.46958   3513.59868 -11349.06826    302.94239
DYNA>     5520      5.52000  -7833.69691   3494.23835 -11327.93526    301.27315
DYNA>     5560      5.56000  -7834.93819   3506.72895 -11341.66714    302.35009
DYNA>     5600      5.60000  -7837.51247   3520.44761 -11357.96009    303.53291
DYNA>     5600      5.60000  -7829.24800   3528.71208 -11357.96009    304.24547
DYNA>     5640      5.64000  -7829.86588   3581.15003 -11411.01592    308.76667
DYNA>     5680      5.68000  -7825.73137   3487.74214 -11313.47351    300.71304
DYNA>     5720      5.72000  -7824.98952   3486.45612 -11311.44563    300.60216
DYNA>     5760      5.76000  -7828.80639   3543.25023 -11372.05662    305.49895
DYNA>     5800      5.80000  -7829.62208   3540.46512 -11370.08720    305.25882
DYNA>     5800      5.80000  -7831.34214   3538.74507 -11370.08720    305.11052
DYNA>     5840      5.84000  -7831.43188   3534.56817 -11366.00005    304.75038
DYNA>     5880      5.88000  -7831.10041   3515.11165 -11346.21205    303.07284
DYNA>     5920      5.92000  -7831.96319   3505.47672 -11337.43991    302.24212
DYNA>     5960      5.96000  -7833.26472   3555.42208 -11388.68680    306.54841
DYNA>     6000      6.00000  -7831.09364   3540.59503 -11371.68867    305.27002
DYNA>     6000      6.00000  -7837.64372   3534.04495 -11371.68867    304.70527
DYNA>     6040      6.04000  -7839.73315   3570.24979 -11409.98294    307.82685
DYNA>     6080      6.08000  -7840.80215   3589.86038 -11430.66253    309.51768
DYNA>     6120      6.12000  -7839.07926   3591.22166 -11430.30092    309.63505
DYNA>     6160      6.16000  -7841.53779   3579.64404 -11421.18182    308.63682
DYNA>     6200      6.20000  -7842.70602   3560.56310 -11403.26912    306.99167
DYNA>     6200      6.20000  -7914.79312   3488.47600 -11403.26912    300.77632
DYNA>     6240      6.24000  -7913.67505   3449.00886 -11362.68390    297.37346
DYNA>     6280      6.28000  -7913.88015   3514.96519 -11428.84534    303.06021
DYNA>     6320      6.32000  -7913.37925   3486.74402 -11400.12327    300.62699
