DYNA>     7200      7.20000 -10961.24662   3681.14699 -14642.39361    283.76799
DYNA>     7280      7.28000 -10961.60541   3721.03401 -14682.63943    286.84275
DYNA>     7360      7.36000 -10960.60780   3807.87182 -14768.47962    293.53681
DYNA>     7440      7.44000 -10960.50067   3764.36129 -14724.86196    290.18272
DYNA>     7520      7.52000 -10961.36406   3707.46382 -14668.82788    285.79667
DYNA>     7600      7.60000 -10961.09111   3777.59226 -14738.68337    291.20265
DYNA>     7680      7.68000 -10962.37799   3725.39561 -14687.77360    287.17897
DYNA>     7760      7.76000 -10962.67381   3707.65759 -14670.33141    285.81161
DYNA>     7840      7.84000 -10961.43801   3729.54733 -14690.98534    287.49902
DYNA>     7920      7.92000 -10961.28099   3764.50811 -14725.78910    290.19403
DYNA>     8000      8.00000 -10962.05533   3749.35896 -14711.41428    289.02623
DYNA>     8080      8.08000 -10962.48951   3712.95160 -14675.44112    286.21971
DYNA>     8160      8.16000 -10963.29955   3747.06481 -14710.36436    288.84939
DYNA>     8240      8.24000 -10961.82429   3793.27276 -14755.09705    292.41141
DYNA>     8320      8.32000 -10963.05313   3664.95640 -14628.00953    282.51991
DYNA>     8400      8.40000 -10962.28289   3708.25149 -14670.53438    285.85739
DYNA>     8480      8.48000 -10962.53857   3717.16463 -14679.70320    286.54448
DYNA>     8560      8.56000 -10962.15295   3676.32190 -14638.47486    283.39604
DYNA>     8640      8.64000 -10962.22322   3691.40790 -14653.63111    284.55897
DYNA>     8720      8.72000 -10961.50014   3730.62566 -14692.12580    287.58214
DYNA>     8800      8.80000 -10962.67188   3743.50049 -14706.17237    288.57462
DYNA>     8880      8.88000 -10961.42269   3653.12401 -14614.54670    281.60779
DYNA>     8960      8.96000 -10963.46959   3754.60317 -14718.07277    289.43049
DYNA>     9040      9.04000 -10962.84484   3734.91011 -14697.75495    287.91242
DYNA>     9120      9.12000 -10963.27182   3767.38159 -14730.65341    290.41554
DYNA>     9200      9.20000 -10962.80529   3745.31656 -14708.12185    288.71462
DYNA>     9280      9.28000 -10963.92367   3676.21550 -14640.13918    283.38784
DYNA>     9360      9.36000 -10963.24741   3712.18395 -14675.43136    286.16053
DYNA>     9440      9.44000 -10963.36740   3759.81464 -14723.18205    289.83223
DYNA>     9520      9.52000 -10963.34050   3786.07009 -14749.41059    291.85618
DYNA>     9600      9.60000 -10963.18418   3747.46268 -14710.64687    288.88006
DYNA>     9680      9.68000 -10964.02764   3745.41847 -14709.44612    288.72247
DYNA>     9760      9.76000 -10963.03685   3723.46605 -14686.50290    287.03023
DYNA>     9840      9.84000 -10964.43364   3787.05472 -14751.48836    291.93208
DYNA>     9920      9.92000 -10962.41596   3721.31057 -14683.72653    286.86407
DYNA>    10000     10.00000 -10963.74796   3713.91676 -14677.66472    286.29411
DYNA>    10080     10.08000 -10962.70317   3698.29801 -14661.00118    285.09011
DYNA>    10160     10.16000 -10964.63400   3711.65790 -14676.29190    286.11998
DYNA>    10240     10.24000 -10965.73522   3746.92383 -14712.65906    288.83852
DYNA>    10320     10.32000 -10964.42298   3703.14410 -14667.56708    285.46368
DYNA>    10400     10.40000 -10965.26869   3758.11589 -14723.38459    289.70128
DYNA>    10480     10.48000 -10966.16507   3702.09382 -14668.25889    285.38271
DYNA>    10560     10.56000 -10963.69440   3681.79499 -14645.48939    283.81794
DYNA>    10640     10.64000 -10963.61406   3727.96473 -14691.57880    287.37702
DYNA>    10720     10.72000 -10966.64711   3823.39840 -14790.04551    294.73370
DYNA>    10800     10.80000 -10964.88301   3715.32381 -14680.20682    286.40257
DYNA>    10880     10.88000 -10964.11048   3768.93689 -14733.04737    290.53543
DYNA>    10960     10.96000 -10966.14856   3699.44080 -14665.58936    285.17820
DYNA>    11040     11.04000 -10966.57728   3765.06670 -14731.64398    290.23709
DYNA>    11120     11.12000 -10965.71427   3792.34330 -14758.05757    292.33976
DYNA>    11200     11.20000 -10963.28133   3825.97849 -14789.25982    294.93259
DYNA>    11280     11.28000 -10966.68957   3820.52336 -14787.21293    294.51207
DYNA>    11360     11.36000 -10965.95077   3793.31855 -14759.26932    292.41494
DYNA>    11440     11.44000 -10966.56342   3757.92877 -14724.49219    289.68685
DYNA>    11520     11.52000 -10967.08444   3813.89305 -14780.97749    294.00096
DYNA>    11600     11.60000 -10965.18264   3766.80625 -14731.98889    290.37119
DYNA>    11680     11.68000 -10967.87404   3745.32840 -14713.20244    288.71553
DYNA>    11760     11.76000 -10966.22970   3788.68904 -14754.91874    292.05807
DYNA>    11840     11.84000 -10965.38049   3760.12983 -14725.51032    289.85653
DYNA>    11920     11.92000 -10966.47645   3710.80113 -14677.27757    286.05393
DYNA>    12000     12.00000 -10963.58446   3726.32620 -14689.91065    287.25071
DYNA>    12080     12.08000 -10968.60091   3819.71900 -14788.31991    294.45007
